Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
183,376,92295,245.465425532,23.842676311,130.245070985,128.989361702,72.113638561,22.645924577,12.343578327,84.207826306,0.618548018,0.817154391,25.705841208,342.343085106,287.752659574,84.338516996,14.550524467,31295.542553191,130.781914894,0.008666163,-0.358757244
184,383,90711,236.843342037,23.433479721,129.748907582,129.798955614,70.104637803,22.432796143,12.108679391,86.522181574,0.6246583,0.819680078,25.412566012,341.631853786,290.007832898,87.31614719,14.211016227,30077.72845953,130.368146214,-0.000790445,-0.40314716
185,390,90796,232.81025641,23.455437871,130.231727346,129.238461538,68.729280636,21.857491562,12.08172742,85.102770021,0.638035832,0.821724063,24.736783869,344.958974359,286.215384615,85.976160569,14.104867714,29673.120512821,130.612820513,0.01446055,-0.428669439
186,391,90520,231.508951407,23.384138466,129.646195004,128.409207161,68.749755774,21.942737043,12.021524075,85.578243486,0.635834124,0.824196998,24.736320935,343.895140665,287.506393862,84.691591193,14.02689303,29359.874680307,130.10741688,0.013674783,-0.375205709
187,388,89975,231.894329897,23.243347972,129.726803927,128.162371134,68.503715623,21.737299549,12.115476228,84.993076047,0.639579923,0.824367477,24.564753219,342.394329897,287.108247423,85.561786997,14.143479214,29437.327319588,130.280927835,0.025524723,-0.440238827
188,398,89940,225.979899497,23.234306381,129.814937285,128.103015075,67.288261529,21.58123317,11.888610524,85.879683709,0.640849727,0.824325285,24.292421981,340.384422111,285.701005025,85.465143941,13.878645682,28587.153266332,130.309045226,0.030143944,-0.413794164
189,399,91373,229.005012531,23.604494963,130.790601553,129.253132832,67.640983498,21.689139026,11.811351814,86.483123379,0.645246738,0.825620385,24.378535192,345.423558897,286.802005013,86.571397186,13.782400177,29176.862155388,131.315789474,0.038556301,-0.424842512
190,395,90435,228.949367089,23.362180315,130.231572501,129.407594937,68.646444149,21.667392185,11.905055301,84.446805949,0.642829324,0.824181742,24.482684658,349.696202532,284.64556962,84.803659432,13.886318875,29070.240506329,130.837974684,0.041150529,-0.417548291
191,401,89881,224.142144638,23.219064841,129.628106096,129.526184539,67.494773817,21.529315322,11.791174334,86.264038572,0.643795571,0.825353784,24.239380709,349.239401496,288.655860349,84.680242171,13.712685502,28328.85286783,130.274314214,0.017067119,-0.416526908
192,402,89072,221.572139303,23.010074916,130.195350419,129.786069652,66.701596329,21.339604707,11.762599822,83.744577342,0.643458128,0.8242771,24.142010663,351.472636816,283.873134328,83.474744278,13.761513553,28128.92039801,130.728855721,0.031027699,-0.415608331
193,378,87480,231.428571429,22.598811677,129.546354102,129.132275132,69.110724421,21.888364002,11.916600828,81.890851962,0.634060355,0.821338606,24.792267952,345.240740741,285.238095238,86.194458111,14.001912825,29282.534391534,130.246031746,-0.016605296,-0.426008671
194,379,89375,235.817941953,23.088349264,130.030090694,128.984168865,70.329014584,22.007859998,11.928026779,80.586683743,0.634147815,0.821455602,24.956522554,343.372031662,285.213720317,83.444571271,14.005891551,29913.063324538,130.604221636,0.028085534,-0.410397878
195,383,89726,234.27154047,23.179023508,129.731247845,129.571801567,70.121398159,21.958171953,11.971075351,84.239756661,0.632569406,0.821453375,24.889734435,349.420365535,286.697127937,86.004321793,14.08723775,29667.368146214,130.315926893,0.014325712,-0.40176099
196,372,89869,241.583333333,23.215964867,129.40410452,128.758064516,71.446804354,22.341837595,12.199742286,82.123273392,0.628172896,0.822187764,25.288189164,351.120967742,292.943548387,80.368223847,14.314029147,30637.059139785,130.008064516,-0.015611914,-0.448947419
197,370,89715,242.472972973,23.176181865,129.966658536,129.194594595,71.843794921,22.253889972,12.144955233,86.282905197,0.62650544,0.818655621,25.312291473,344.632432432,291.583783784,83.364779023,14.325110228,30776.859459459,130.621621622,-0.014008062,-0.404017853
198,367,90508,246.615803815,23.381038491,129.434813455,130.013623978,72.726787453,22.402976964,12.174651484,86.712190421,0.633668998,0.82140684,25.474715339,346.365122616,290.376021798,87.013814006,14.393572458,31193.158038147,130.046321526,-0.006951506,-0.428073846
199,373,89699,240.479892761,23.172048566,129.788832227,128.967828418,71.69904368,22.096994672,12.08402363,87.535284345,0.62993633,0.817843289,25.198892818,345.605898123,289.699731903,87.929977599,14.29689612,30496.26541555,130.327077748,0.005565443,-0.432181499
200,376,87697,233.236702128,22.654869543,129.083715662,128.744680851,69.692013269,21.876564287,11.953011614,87.209388023,0.633763398,0.822251844,24.81641837,347.013297872,292.162234043,90.508073435,14.05268315,29414.079787234,129.755319149,-0.015456197,-0.415059
201,387,90356,233.478036176,23.341772152,129.841084364,129.674418605,69.285961826,21.759463045,11.921281641,89.172431801,0.631718905,0.818216427,24.768383794,345.573643411,293.454780362,90.538861255,14.025198209,29540.325581395,130.359173127,0.022395086,-0.432444852
202,380,89374,235.194736842,23.088090933,129.080182828,128.134210526,69.406110078,21.727005186,12.032071655,89.050830142,0.642665661,0.824314861,24.65368734,347.784210526,287.578947368,90.59463119,14.107022741,29722.615789474,129.715789474,0.015035019,-0.387607334
